path	status	reason
bundler/source/rubygems_aggregate.rb	fail	panic: a nested escaping block capturing its enclosing BLOCK's own local `dependency_names` isn't supported…
bundler/source_list.rb	fail	unsupported string interpolation part (spike scope)
bundler/source_map.rb	fail	panic: a nested escaping block capturing its enclosing BLOCK's own local `source` isn't supported yet (spik…
bundler/spec_set.rb	fail	unsupported string interpolation part (spike scope)
bundler/stub_specification.rb	fail	unsupported string interpolation part (spike scope)
bundler/ui.rb	fail	`autoload` isn't supported (spike scope)
bundler/ui/rg_proxy.rb	fail	`autoload` isn't supported (spike scope)
bundler/ui/shell.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
bundler/ui/silent.rb	pass	
bundler/uri_credentials_filter.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
bundler/uri_normalizer.rb	pass	
bundler/vendor/connection_pool/lib/connection_pool.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendor/connection_pool/lib/connection_pool/timed_stack.rb	fail	unknown class/module `Bundler::ConnectionPool` in `Bundler::ConnectionPool::TimedStack` (must be def…
bundler/vendor/connection_pool/lib/connection_pool/version.rb	fail	unknown class/module `Bundler` in `Bundler::ConnectionPool` (must be defined earlier in the file)
bundler/vendor/connection_pool/lib/connection_pool/wrapper.rb	fail	unknown class/module `Bundler` in `Bundler::ConnectionPool` (must be defined earlier in the file)
bundler/vendor/fileutils/lib/fileutils.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendor/net-http-persistent/lib/net/http/persistent.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendor/net-http-persistent/lib/net/http/persistent/connection.rb	fail	unknown class/module `Gem::Net::HTTP::Persistent` in `Gem::Net::HTTP::Persistent::Connection` (must …
bundler/vendor/net-http-persistent/lib/net/http/persistent/pool.rb	fail	expected `*name` as a multi-assignment's splat target
bundler/vendor/net-http-persistent/lib/net/http/persistent/timed_stack_multi.rb	fail	expected `*name` as a multi-assignment's splat target
bundler/vendor/pub_grub/lib/pub_grub.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
bundler/vendor/pub_grub/lib/pub_grub/assignment.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/basic_package_source.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/failure_writer.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/incompatibility.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/package.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/partial_solution.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/rubygems.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
bundler/vendor/pub_grub/lib/pub_grub/solve_failure.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/static_package_source.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
bundler/vendor/pub_grub/lib/pub_grub/strategy.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/term.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/version.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/version_constraint.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/version_range.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/version_solver.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/pub_grub/lib/pub_grub/version_union.rb	fail	unknown class/module `Bundler` in `Bundler::PubGrub` (must be defined earlier in the file)
bundler/vendor/securerandom/lib/securerandom.rb	fail	unsupported syntax at "alias gen_random gen_random_urandom" (spike handles only what the 7 example p…
bundler/vendor/thor/lib/thor.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
bundler/vendor/thor/lib/thor/actions.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendor/thor/lib/thor/actions/create_file.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendor/thor/lib/thor/actions/create_link.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendor/thor/lib/thor/actions/directory.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendor/thor/lib/thor/actions/empty_directory.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendor/thor/lib/thor/actions/file_manipulation.rb	fail	unsupported statement in `class << self` (spike scope)
bundler/vendor/thor/lib/thor/actions/inject_into_file.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendor/thor/lib/thor/base.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
bundler/vendor/thor/lib/thor/command.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
bundler/vendor/thor/lib/thor/core_ext/hash_with_indifferent_access.rb	fail	unsupported syntax at "*args" (spike handles only what the 7 example programs need)
bundler/vendor/thor/lib/thor/error.rb	fail	unknown class/module `Bundler` in `Bundler::Thor` (must be defined earlier in the file)
bundler/vendor/thor/lib/thor/group.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
bundler/vendor/thor/lib/thor/invocation.rb	fail	unknown class/module `Bundler` in `Bundler::Thor` (must be defined earlier in the file)
bundler/vendor/thor/lib/thor/line_editor.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendor/thor/lib/thor/line_editor/basic.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendor/thor/lib/thor/line_editor/readline.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendor/thor/lib/thor/nested_context.rb	fail	unknown class/module `Bundler` in `Bundler::Thor` (must be defined earlier in the file)
bundler/vendor/thor/lib/thor/parser.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
bundler/vendor/thor/lib/thor/parser/argument.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
bundler/vendor/thor/lib/thor/parser/arguments.rb	fail	unknown class/module `Bundler` in `Bundler::Thor` (must be defined earlier in the file)
bundler/vendor/thor/lib/thor/parser/option.rb	fail	unknown class/module `Bundler` in `Bundler::Thor` (must be defined earlier in the file)
bundler/vendor/thor/lib/thor/parser/options.rb	fail	unknown class/module `Bundler` in `Bundler::Thor` (must be defined earlier in the file)
bundler/vendor/thor/lib/thor/rake_compat.rb	fail	cannot load such file
bundler/vendor/thor/lib/thor/runner.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
bundler/vendor/thor/lib/thor/shell.rb	fail	cannot load such file
bundler/vendor/thor/lib/thor/shell/basic.rb	fail	unsupported syntax at "`stty size 2>/dev/null`" (spike handles only what the 7 example programs need…
bundler/vendor/thor/lib/thor/shell/color.rb	fail	unsupported syntax at "`stty size 2>/dev/null`" (spike handles only what the 7 example programs need…
bundler/vendor/thor/lib/thor/shell/column_printer.rb	fail	unsupported syntax at "`stty size 2>/dev/null`" (spike handles only what the 7 example programs need…
bundler/vendor/thor/lib/thor/shell/html.rb	fail	unsupported syntax at "`stty size 2>/dev/null`" (spike handles only what the 7 example programs need…
bundler/vendor/thor/lib/thor/shell/table_printer.rb	fail	unsupported syntax at "`stty size 2>/dev/null`" (spike handles only what the 7 example programs need…
bundler/vendor/thor/lib/thor/shell/terminal.rb	fail	unsupported syntax at "`stty size 2>/dev/null`" (spike handles only what the 7 example programs need…
bundler/vendor/thor/lib/thor/shell/wrapped_printer.rb	fail	unsupported syntax at "`stty size 2>/dev/null`" (spike handles only what the 7 example programs need…
bundler/vendor/thor/lib/thor/util.rb	fail	cannot load such file
bundler/vendor/thor/lib/thor/version.rb	fail	unknown class/module `Bundler` in `Bundler::Thor` (must be defined earlier in the file)
bundler/vendor/tsort/lib/tsort.rb	fail	unknown class/module `Bundler` in `Bundler::TSort` (must be defined earlier in the file)
bundler/vendor/uri/lib/uri.rb	fail	`autoload` isn't supported (spike scope)
bundler/vendor/uri/lib/uri/common.rb	fail	unknown class/module `Bundler` in `Bundler::URI` (must be defined earlier in the file)
bundler/vendor/uri/lib/uri/file.rb	fail	`autoload` isn't supported (spike scope)
bundler/vendor/uri/lib/uri/ftp.rb	fail	`autoload` isn't supported (spike scope)
bundler/vendor/uri/lib/uri/generic.rb	fail	`autoload` isn't supported (spike scope)
bundler/vendor/uri/lib/uri/http.rb	fail	`autoload` isn't supported (spike scope)
bundler/vendor/uri/lib/uri/https.rb	fail	`autoload` isn't supported (spike scope)
bundler/vendor/uri/lib/uri/ldap.rb	fail	`autoload` isn't supported (spike scope)
bundler/vendor/uri/lib/uri/ldaps.rb	fail	`autoload` isn't supported (spike scope)
bundler/vendor/uri/lib/uri/mailto.rb	fail	`autoload` isn't supported (spike scope)
bundler/vendor/uri/lib/uri/rfc2396_parser.rb	fail	unknown class/module `Bundler` in `Bundler::URI` (must be defined earlier in the file)
bundler/vendor/uri/lib/uri/rfc3986_parser.rb	fail	unknown class/module `Bundler` in `Bundler::URI` (must be defined earlier in the file)
bundler/vendor/uri/lib/uri/version.rb	fail	unknown class/module `Bundler` in `Bundler::URI` (must be defined earlier in the file)
bundler/vendor/uri/lib/uri/ws.rb	fail	`autoload` isn't supported (spike scope)
bundler/vendor/uri/lib/uri/wss.rb	fail	`autoload` isn't supported (spike scope)
bundler/vendored_fileutils.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendored_net_http.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendored_persistent.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendored_pub_grub.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
bundler/vendored_securerandom.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendored_thor.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
