#! Accepted divergences from conformance/builtin-arity.tsv.
#! Every row needs a reason, and only two kinds may appear:
#! `zeo-only` (zeo defines a method CRuby has nowhere in the chain) and
#! `oracle-missing` (the dump could not reach the class at all). An arity
#! that simply disagrees with the oracle is a BUG in the parameter list --
#! it fails the test and cannot be recorded here. Regenerate with
#! `ZEO_BLESS=1 cargo nextest run -p zeo --test builtin_arity`.
#! tag	class	kind	name	reason
oracle-missing	FFI::MemoryPointer	s	from_string	FFI::MemoryPointer is absent from the pinned oracle
oracle-missing	FFI::MemoryPointer	s	new	FFI::MemoryPointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	+	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	==	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	address	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	eql?	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_bytes	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_char	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_double	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_float	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_float32	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_float64	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_int	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_int16	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_int32	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_int64	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_int8	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_long_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_pointer	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_short	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_string	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_uchar	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_uint	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_uint16	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_uint32	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_uint64	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_uint8	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_ulong	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_ulong_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	get_ushort	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	null?	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_bytes	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_char	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_double	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_float	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_float32	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_float64	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_int	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_int16	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_int32	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_int64	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_int8	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_long_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_pointer	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_short	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_string	FFI::Pointer is absent from the pinned oracle
